                                                             cve-2010-5278, cve-2015-9481, cve-2015-9482, cve-2017-1002201, cve-2018-1000877, cve-2018-1000878, cve-2018-1000879, cve-2018-1000880, cve-2018-1002204, cve-2018-19052, cve-2018-20685, cve-2018-5732, cve-2019-0065, cve-2019-0071, cve-2019-10923, cve-2019-10936, cve-2019-13411, cve-2019-13412, cve-2019-13929, cve-2019-14657, cve-2019-14810, cve-2019-15064, cve-2019-15065, cve-2019-15066, cve-2019-16925, cve-2019-16926, cve-2019-17115, cve-2019-17264, cve-2019-17449, cve-2019-17501, cve-2019-17507, cve-2019-17526, cve-2019-17543, cve-2019-17544, cve-2019-17629, cve-2019-17630, cve-2019-17664, cve-2019-18216, cve-2019-2934, cve-2019-2936, cve-2019-2937, cve-2019-2961, cve-2019-2965, cve-2019-8064, cve-2019-8160, cve-2019-8161, cve-2019-8162, cve-2019-8163, cve-2019-8164, cve-2019-8165, cve-2019-8166, cve-2019-8167, cve-2019-8168, cve-2019-8169, cve-2019-8170, cve-2019-8171, cve-2019-8172, cve-2019-8173, cve-2019-8174, cve-2019-8175, cve-2019-8176, cve-2019-8177, cve-2019-8178, cve-2019-8179, cve-2019-8180, cve-2019-8181, cve-2019-8182, cve-2019-8183, cve-2019-8184, cve-2019-8185, cve-2019-8186, cve-2019-8187, cve-2019-8188, cve-2019-8189, cve-2019-8190, cve-2019-8191, cve-2019-8192, cve-2019-8193, cve-2019-8194, cve-2019-8195, cve-2019-8196, cve-2019-8197, cve-2019-8198, cve-2019-8199, cve-2019-8200, cve-2019-8201, cve-2019-8202, cve-2019-8203, cve-2019-8204, cve-2019-8205, cve-2019-8206, cve-2019-8207, cve-2019-8208, cve-2019-8209, cve-2019-8210, cve-2019-8211, cve-2019-8212, cve-2019-8213, cve-2019-8214, cve-2019-8215, cve-2019-8216, cve-2019-8217, cve-2019-8218, cve-2019-8219, cve-2019-8220, cve-2019-8221, cve-2019-8222, cve-2019-8223, cve-2019-8224, cve-2019-8225, cve-2019-8226, cve-2019-8369, cve-2019-8370
1434/tcp                                                     cve-2019-13929
15                                                           cve-2019-10936, cve-2019-3689
15.0.0                                                       cve-2019-2896
15.0.6                                                       cve-2019-16967
15.0.8.21                                                    cve-2019-16966
15.1                                                         cve-2019-0047, cve-2019-0062, cve-2019-0063, cve-2019-0066, cve-2019-0067, cve-2019-0069, cve-2019-0074
15.1.0-15.2.18                                               cve-2019-3020
15.1f                                                        cve-2019-0074
15.1f6-s12                                                   cve-2019-0066, cve-2019-0074
15.1f6-s13                                                   cve-2019-0047, cve-2019-0062
15.1r7                                                       cve-2019-0069
15.1r7-s2                                                    cve-2019-0066
15.1r7-s4                                                    cve-2019-0047
15.1r7-s5                                                    cve-2019-0062, cve-2019-0063
15.1x49                                                      cve-2019-0047, cve-2019-0050, cve-2019-0051, cve-2019-0054, cve-2019-0055, cve-2019-0060, cve-2019-0061, cve-2019-0062, cve-2019-0066, cve-2019-0068, cve-2019-0069, cve-2019-0073, cve-2019-0075
15.1x49-d110                                                 cve-2019-0069
15.1x49-d120                                                 cve-2019-0054
15.1x49-d130                                                 cve-2019-0055
15.1x49-d150                                                 cve-2019-0066
15.1x49-d160                                                 cve-2019-0075
15.1x49-d170                                                 cve-2019-0050
15.1x49-d171                                                 cve-2019-0047, cve-2019-0060, cve-2019-0061
15.1x49-d180                                                 cve-2019-0047, cve-2019-0051, cve-2019-0060, cve-2019-0061, cve-2019-0062, cve-2019-0068, cve-2019-0073
15.1x53                                                      cve-2019-0047, cve-2019-0061, cve-2019-0062, cve-2019-0066, cve-2019-0069
15.1x53-d234                                                 cve-2019-0069
15.1x53-d235                                                 cve-2019-0066
15.1x53-d238                                                 cve-2019-0062
15.1x53-d495                                                 cve-2019-0066
15.1x53-d496                                                 cve-2019-0061, cve-2019-0069
15.1x53-d497                                                 cve-2019-0047
15.1x53-d590                                                 cve-2019-0066
15.1x53-d68                                                  cve-2019-0066, cve-2019-0069
15.1x53-d69                                                  cve-2019-0047, cve-2019-0061
15.7                                                         cve-2017-14328
